Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
Starry	"'The Starry Sky' of Wyndham Lewis"; "Love Songs"	adjective	1) abounding with stars; adorned with stars; 2) Consisting of, or proceeding from, the stars; stellar; stellary; as starry light; starry flame; 3) Shining like stars; sparkling; as, starry eyes; 4) Arranged in rays like those of a star; stellate (MW)		light; heat; astronomy
Dark	"Der Blinde Junge"; "Italian Pictures: The Costa San Giorgio"	noun	1) Absence of light; darkness; obscurity; a place where there is little or no light; 2) The condition of ignorance; gloom; secrecy; 3) (Fine Arts) A dark shade or dark passage in a painting, engraving, or the like (MW)		light
Rocket	"Love Songs"	noun	1) An artificial firework consisting of a cylindrical case of paper or metal filled with a composition of combustible ingredients, as niter, charcoal, and sulphur, and fastened to a guiding stick.  The rocket is projected through the air by the force arising from the expansion of the gases liberated by combustion of the composition.  Rockets are used as projectiles for various purposes, for signals, and also for pyrotechnic display; 2) A blunt lance head used in the joust (MW)		man-made; scientific
Zodiac	"Lunar Baedeker"	noun	1) Astron. (a) An imaginary belt in the heavens, 16o or 18o broad, in the middle of which is the ecliptic, or sun's path. It comprises the twelve constellations, which once constituted, and from which were named, the twelve signs of the zodiac.;(b) A figure representing the signs, symbols, and constellations of the zodiac; 2) A girdle; a belt (MW)		astronomy
Celestial	"'The Starry Sky' of Wyndham Lewis"	adjective	1) Belonging to the aërial regions, or visible heavens; 2) Of or pertaining to the spiritual heaven; heavenly; divine (MW)		astronomy
Airy	"'The Starry Sky' of Wyndham Lewis"; "Sketch of a Man on a Platform"	adjective	1) Consisting of air; 2) Relating or belonging to air; high in air; aërial; 3) Open to a free current of air; breezy; 4) Resembling air; thin; unsubstantial; not material; 5) Relating to the spirit or soul; delicate; graceful; 6) Without reality; having no solid foundation; empty; trifling; visionary; 7) Light of heart; vivacious; sprightly; flippant; superficial; 8) Having an affected manner; affectedly grand; 9) (Painting) Having the light and aërial tints true to nature (MW)		astronomy
Lethe	"Lunar Baedeker"	noun	1) death; 2.1) (from the Greek “to forget,” “to escape”) A river of Hades whose waters when drunk caused forgetfulness of the past; 2.2) Oblivion; a draught of oblivion; forgetfulness (MW)		mythology
Black	"Der Blinde Junge"; "Ignoramus"; "Café du Néant"	adjective	1) Destitute of light, or incapable of reflecting it; of the color of soot or coal; of the darkest or a very dark color, the opposite of white; 2) In a less literal sense: Enveloped or shrouded in darkness; very dark or gloomy; 3) (Figurative) Dismal, gloomy, or forbidding, like darkness; destitute of moral light or goodness; 4) Expressing menace, or discontent; threatening; sullen; foreboding; n: 1) That which is destitute of light or whiteness; the darkest color, or rather a destitution of all color (MW)		light
Blind	"Der Blinde Junge"; "Love Songs"	adjective	1) Destitute of the sense of seeing, either by natural defect or by deprivation; without sight; 2) Not having the faculty or discernment; destitute of intellectual light; unable or unwilling to understand or judge; 3) Undiscerning; 4) Involved; intricate; not easily followed or traced; 5) Having no openings for light or passage; 6) Unintelligible; 7) (Horticulture) Abortive; failing to produce flowers or fruit (MW)		light
Space	"'The Starry Sky' of Wyndham Lewis"	noun	1) Extension, considered independently of anything which it may contain; that which makes extended objects conceivable and possible; 2) Place, having more or less extensions; room; 3) A quantity or portion of extension; distance from one thing to another; an interval between any two or more objects; as, the space between two stars or two hills; the sound was heard for the space of a mile; 4) Quantity of time; an interval between two points of time; duration; time; 5) A short time; a whilel 6) Walk; track; path; course; 7) (Print.) (a) A small piece of metal cast lower than a face type, so as not to receive the ink in printing,-- used to separate words or letters; (b) The distance or interval between words or letters in the lines, or between lines, as in books (MW)		astronomy
Winged	"Love Songs"	adjective	1) Furnished with wings; transported by flying; having winglike expansions; 2) Soaring with wings, or as if with wings; hence, elevated; lofty; sublime; 3) Swift; rapid; 4) Wounded or hurt in the wing; 5) (Bot.) Furnished with a leaflike appendage, as the fruit of the elm and the ash, or the stem in certain plants; alate; 6) (Her.) Represented with wings, or having wings, or a different tincture from the body; 7) Fanned with wings; swarming with birds (MW)		spiritual; astronomy
Round	"English Rose"; "Italian Pictures: July in Vallombrosa"	adjective	1) Having every portion of the surface or of the circumference equally distant from the center; spherical; circular; having a form approaching a spherical or circular shape; orbical; globular 2) Having the form of a cylinder 3) Having the curved outline or form; especially, one like the arc of a circle or an ellipse, or a portion of the surface of a sphere; rotund; bulging; protuberant; 4) Full; complete; not broken; not fractal; approximately in even units, tens, hundreds, thousands, etc.; 5) Not inconsiderable; large; hence, generous; free (MW)		circular
Amorphous	"English Rose"	adjective	1) Having no determinate form; of irregular shape; shapeless. 2) Without crystallization in the ultimate texture of a solid substance; uncrystallized. 3) Of no particular kind or character; anomalous 		
Dusk	"Apology of Genius"	noun	1) Imperfect obscurity; a middle degree between light and darkness; twilight; 2) A darkish color (MW)		astronomy; light
Sublime	"'The Starry Sky' of Wyndham Lewis"	adjective	1) Lifted up; high in place; exalted lofty or noble traits; eminent; --said of persons; 2) Distinguished by lofty or noble traits; eminent; --said of persons; 3) Awakening or expressing the emotion of awe, adoration, veneration, heroic resolve, etc.; dignified; grand; solemn; stately; --said of an impressive object in nature, of an action, of a discourse, or a work of art, of a spectacle, etc.; 4) Elevated by joy; elate 5) Lofty of mein; haughty; proud (MW)		spiritual
Divine	"English Rose"	adjective	1) Of or belonging to God; 2) Proceeding from God; 3) Appropriated to God, or celebrating his praise; 4) Pertaining to, or proceeding from, a deity; partaking of the nature of a god or the gods; 5) Godlike; heavenly; excellent in the highest degree; supremely admirable; apparently above what is human; 6) Presageful; foreboding; prescient (Obsolete); 7) Relating to divinity or theology (MW)		spiritual
Carnose	"Der Blinde Junge"	adjective	1) Of or pertaining to flesh; fleshy; 2) (Botany) Of a fleshy consistence;—applied to succulent leaves, stems, etc. (MW)		scientific; botany
Earth	"Crab-Angel"; "Der Blinde Junge"	noun	1) Of or pertaining to flesh; fleshy; 2) (Botany) Of a fleshy consistence;—applied to succulent leaves, stems, etc. (MW)		astronomy
Phosphorus	"Lunar Baedeker"	noun	1) Of or pertaining to phosphorus; resembling or containing phosphorus; specifically, designating those compounds in which phosphorus has a lower valence as contrasted with the phosphoric compounds; 2.1) the morning star: Phosphor; 2.2) A poisonous nonmetallic element of the nitrogen group, obtained as a white, or yellowish, translucent waxy substance, having a characteristic disagreeable smell. It is very active chemically, must be preserved in water, and unites with oxygen even at ordinary temperatures, giving a faint glow—whence its name. (MW)		astronomy; scientific
Lunar	"Lunar Baedeker"	adjective	1) Of or pertaining to the moon; 2) resembling the moon; orbed; 3) Measured by the revolutions of the moon; as, a lunar month; 4) Influenced by the moon, as in growth, character, or properties; as, lunar herbs (MW)		astronomy
Universal	"Ignoramus"	adjective	1) of or pertaining to the universe; extending to, including or affecting, the whole number, quantity, or space; unlimited; general; all-reaching; all-pervading; 2) Constituting or considered as a whole; total; entire; whole; 3) Adopted or adoptable to all or to various uses, shapes, sizes, etc.; 4) Forming the whole of a genus; relatively unlimited in extension; affirmed or or denied the whole of a subject (MW)		astronomy
Nocturnal	"Lunar Baedeker"; "'The Starry Sky' of Wyndham Lewis"	adjective	1) Of, pertaining to, done or occurring in, the night; as nocturnal darkness, cries, expeditions, etc. ; opposed to diurnal; 2) Having a habit of seeking food or moving about at night; as nocturnal birds and insects; 3) An instrument formerly used for taking the altitude of the stars, etc. at the sea (MW)		astronomy; light
Star	"Crab-Angel"; "Ignoramus"; "'The Starry Sky' of Wyndham Lewis"; "Love Songs"	noun	1) One of the innumerable luminous bodies seen in the heavens; any heavenly body other than the sun, moon, comets, and nebule 2) The polestar; the north star 3) A planet supposed to influence one's destiny; a configuration of the planets, supposed to influence fortune 4) That which resembles the figure of a star, as an ornament worn on the breast to indicate rank or honor 5) Specifically, a radiated mark in writing or printing; an asterisk; -- used as a reference to a note, or to fill a blank where something is omitted, etc. 6) A composition of combustible matter used in the heading of rockets, in mines, etc. which, exploding in the air, presents a starlike appearance 7) A person of brilliant and attractive qualities, especially on public occasions, as a distinguished orator, a leading theatrical performer, etc. (MW)		astronomy; light; heat
