Term	Poem	Part of Speech	Definition	Number of Occurrences	Tags
Whirl	"Lunar Baedeker;" "English Rose"; "Crab-Angel"	verb	1) To turn around rapidly; to cause to rotate with velocity; to make revolve; 2) To remove or carry quickly with, or as with, a revolving motion; to snatch; to hurry (MW)		circular
Infinity	"O Hell"		1) Unlimited extent of time, space, or quantity; eternity; boundlessness; immensity; 2) Unlimited capacity, energy, excellence, or knowledge; 3) Endless or indefinite number; great multitude; 4) (Math) A quantity greater than any assignable quantity of the same kind; 5) (Geometry) That part of a line, or of a plane, or of space, which is infinitely distant.  In modern geometry, parallel lines or planes are sometimes treated as lines or planes meeting at infinity		astronomy; spiritual
Infinite	"'The Starry Sky' of Wyndham Lewis"		1) Unlimited or boundless, in time or space; 2) Without limit in power, capacity, knowledge, or excellence; immeasurably or inconceivably great; perfect; 3) Indefinitely large or extensive; great; vast; immense; gigantic; prodigious; 4) (Math) Greater than any assignable quantity of the same kind; 5) (Music) Capable of endless repetition (MW)		spiritual; astronomy
Sunbonnet	"English Rose"	noun	A bonnet, generally made of some thin or light fabric, projecting beyond the face, and commonly having a cape,—worn by women as a protection against the sun (MW)		astronomy
Rainbow	"Crab-Angel"	noun	A bow or arch exhibiting, in concentric bands, the several colors of the spectrum, and formed in the part of the hemisphere opposite to the sun by the refraction and reflection of the sun's rays in drops of falling rain (MW)		light; astronomy
Glint	"Italian Pictures: The Costa San Giorgio"	noun	A glimpse, glance, or gleam (MW)		light
Perruque	"Crab-Angel"	noun	A headdress of false hair, usually covering the whole head (MW)		
Lighting 	"Café du Néant"	noun	A name sometimes applied to the process of annealing metals (MW)		light
Immortelle	"Apology of Genius"	noun	A plant with a conspicuous, dry, unwithering involucre, as the species of Antennaria, Helichrysum, Gomphrena, etc. (MW)		biology; botany
Lamp-shade	"Love Songs"	noun	A screen, as of paper, glass, or tin, for softening or obstructing the light of a lamp (MW)		light; man-made
Jehovah	"English Rose"	noun	A Scripture name of the Supreme Being, by which he was revealed to the Jews as their covenant God or Sovereign of the theocracy; the "ineffable name" of the Supreme Being, which was not pronounced by the Jews 		biblical; spiritual
Vacuum	"Parturition"	noun	A space entirely devoid of matter; hence, in a more general sense, a space, as the interior of a closed vessel (MW)		scientific; light; astronomy
Dryad	"Italian Pictures: July in Vallombrosa"	noun	A wood nymph; a nymph whose life was bound up with that of her tree (MW)		mythology; nature; gender
Aloft	"Love Songs"	preposition	Above; on top of (obsolete) (MW)		
Void	"Der Blinde Junge"	adjective; noun	adj: 1) Containing nothing; empty; vacant; not occupied; not filled; 2) Having no incumbent; unoccupied; --said of offices and the like; 3) being without destitute; free; wanting; devoid; as void of learning or of common sense; 4) Not producing any effect ineffectual; vain; 5) Containing no immaterial quality; 6) Of no legal force or effect; null; n: an empty space; a vacuum (MW)		light; spiritual
Blue	"Italian Pictures: July in Vallombrosa"	adjective; noun	ADJ: 1) Having the color of the clear sky, or a hue resembling it, whether lighter or darker; 2) Pale, without redness or glare—said of a flame; 3) Low in spirits; melancholy; 4) Suited to produce low spirits; gloomy in prospect; 5) Severe or over strict in morals; 6) (Literary—applied to women) an abbreviation of bluestocking (Colloquial); N: 1) One of the seven colors into which the rays of light divide themselves, when refracted through a glass prism; the color of the clear sky; a pigment having such a color; 2) A pedantic oman; a bluestocking; 3) Low spirits; a fit of despondency; melancholy (MW)		
Yellow	"Crab-Angel"; "Café du Néant"; "Italian Pictures: Costa Magic"	adjective; noun; verb	adj: Being of a bright saffronlike color; of the color of gold or brass; having the hue of that part of the rainbow, or of the solar spectrum, which is between the orange and the green; n: 1) A bright golden color, reflecting more light than any other except white; the color of that part of the spectrum which is between the orange and the green; 2) A yellow pigment; v: To become yellow or yellower (MW)		astronomy; light; heat
Alarum	"English Rose"	noun	ALARM // 1) A summons to arms, as on the approach of an enemy; 2) Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger; 2) Any sound or information intended to give notice of approaching danger; a warning sound to arouse attention; a warning of danger; 3) A sudden attack; disturbance; broil; 4) Sudden surprise with fear or terror excited by apprehension of danger; in the military use, commonly, sudden apprehension of being attacked by surprise; 5) A mechanical contrivance for awakening persons from sleep, or rousing their attention; an alarum (MW)		
Universe	"Apology of Genius"; "Love Songs"; Parturition"	noun	All created things viewed as constituting one system or whole; the whole body of things, or of phenomena; the rò nāvof the Greeks, the world; creation (MW)		astronomy
Albion	"English Rose"	noun	An ancient name of England, still retained in poetry (MW)		England; historical
Bi-Circular	"Crab-Angel"	adjective	Applied to a class of quartic curves each of which passes twice through each of the circular points at infinity, and thus resembles (analytically, and sometimes in form) a pair of circles (OED)		circular
Northern Lights	"Poe"	noun	Aurora Borealis, under AURORA// A luminous meteoric phenomenon, visible only at night, and supposed to be of electrical origin. This species of light usually appears in streams, ascending towards the zenith from a dusky line or bank, a few degrees above the northern horizon; when reaching south beyond the zenith, it forms what is called the corona, about a spot in the heavens towards which the dipping needle points. Occasionally the aurora appears as an arch of light across the heavens from east to west. Sometimes it assumes a wavy appearance, an the streams of light are then called merry dancers. They assume a variety of colors, from a pale red or yellow to a deep red or blood color (MW)		light; astronomy
Ray	"'The Starry Sky' of Wyndham Lewis"	noun	Aurora Borealis, under AURORA// A luminous meteoric phenomenon, visible only at night, and supposed to be of electrical origin. This species of light usually appears in streams, ascending towards the zenith from a dusky line or bank, a few degrees above the northern horizon; when reaching south beyond the zenith, it forms what is called the corona, about a spot in the heavens towards which the dipping needle points. Occasionally the aurora appears as an arch of light across the heavens from east to west. Sometimes it assumes a wavy appearance, an the streams of light are then called merry dancers. They assume a variety of colors, from a pale red or yellow to a deep red or blood color (MW)		light; heat; astronomy
Rigor Mortis	"Italian Pictures: July in Vallombrosa"		Death stiffening; the rigidity of the muscles that occurs at death and lasts till decomposition sets in.  It is due to the formation of myosin by the coagulation of the contents of the individual muscle fibers (MW)		death; scientific
Ambiente	"Café du Néant"	adjective	Encompassing on all sides; circumfused; investing (MW)		circular
Blinde	"Der Blinde Junge"	adjective	German term for "blind" (Google Translate)		German; light
Concentric	"Café du Néant"	adjective	Having a common center, as circles of different size, one within the other (MW)		astronomy
Iridescent	"Magasins du Louvre"	adjective	Having colors like the rainbow; exhibiting a play of changeable colors; nacreous; prismatic (MW)		light; scientific
Rosily	"English Rose"	adverb	In a rosy manner (MW)		botany; round
Eros	"Lunar Baedeker"	noun	Love; the god of love—by earlier writers represented as one of the first and creative gods, by later writers as the son of Aphrodite, equivalent to the Latin god Cupid (MW)		mythology; astronomy
White	"Love Songs"	noun; verb	n: 1) the color of pure snow; one of the natural colors of bodies, yet not strictly a color, but a composition of all the colors; the opposite of black; whiteness; 2) Something having the color of snow; something white, or nearly so; 3) Specifically, the central part of the butt in archery, which was formerly painted white; the center of a mark at which a missile is shot; 4) A person with a white skin; a member of the white, or Caucasian, races of men; 5) A white pigment v: 1) To make white; to whiten; to whitewash; to bleach (MW)		light
Woman	"Italian Pictures: The Costa San Giorgio"; "Italian Pictures: Costa Magic"	noun	n. 1) an adult female person; a grown-up female person, as distinguished from a man or a child; sometimes, any female person; 2) The female part of the human race; womankind; 3) a female attendant or servant; v. 1) To act the part of a woman in;-- with indefinite it; 2) To make effeminate or womanish; 3) To furnish with, or unite to, a woman (MW)		gender
Light	"Lunar Baedeker"; "Der Blinde Junge"; "Brancusi's Golden Bird"; "'The Starry Sky' of Wyndham Lewis"; "Love Songs"; "Café du Néant"; "Sketch of a Man on a Platform"	noun; verb; adjective	n. 1) That agent, force, or action in nature by the operation of which upon the organs of sight, objects are rendered visible or luminous; 2) That which furnishes, or is a source of light, as the sun, a star, a candle, a lighthouse, etc.; 3) The time during which the light of the sun is visible; day; especially, the dawn of day; 4) The brightness of the eye or eyes; 5) The medium through which light is admitted, as a window or window pane; 6) Life; existence; 7) Open view; public observation; 8) The power of perception by vision (etc.); adj. 1) Having little, or comparatively little, weight; not tending to the center of gravity with force; not heavy; 2) Not burdensome easy to be lifted, borne, or carried by physical strength; 3) Easy to be endured or performed; not severe; not difficult (etc.); v. 1) To dismount; to descend, as from a horse of carriage; to alight; 2) To feel light; to be made happy; 3) To descend from flight, and rest, perch, or settle, as a bird or insect; 4) To come down suddenly and forcible; to call; 5) To come by chance; to happen (MW)		light; life
Atomic	"Crab-Angel"	adjective	Of or pertaining to atoms (MW)		scientific
Spatial	"Parturition"	adjective	Of or pertaining to space (MW)		astronomy
Empyrean	"Ignoramus"	adjective	Of or relating to the highest or most exalted parts or sphere of heaven; (more generally) of or relating to the sky or firmament; frequently figurative in later use (OED)		spiritual
Infusoria	"Lunar Baedeker"	noun	One of the classes of Protozoa, including a large number of species, all of minute size (MW)		biology
Starway	"Lunar Baedeker"	noun	Perhaps a pathway made from stars (CW)		created words; astronomy
Stellectric	"Lunar Baedeker"	adjective	Portmanteau: stellar + electric (Prescott 104)		created words; astronomy
Sublimely	"Parturition"		see: sublime		spiritual
Subliminal	"Love Songs"; "Parturition"		see: sublime		spiritual
Virgin	"Italian Pictures: The Costa San Giorgio"	noun	see: Virginity		gender
Virginal	"Der Blinde Junge"; "Love Songs"	adjective	see: Virginity		gender
Haloed	"Love Songs"	adjective	Surrounded with a halo; invested with an ideal glory; glorified 		spiritual
Midnight	"Love Songs"	noun	The middle of the night; twelve o'clock at night (MW)		light; astronomy
Circularity	"English Rose"	noun	The quality or state of being circular; a circular form (MW)		circular
Flutter	"Love Songs"	verb	v, i: 1) To move or flap the wings rapidly, without flying, or with short flights; to hover; 2) To move with quick vibrations or undulations; 3) To move about briskly, irregularly, or with great bustle and show, without much result; 4) To be in agitation; to move irregularly; to fluctuate; to be in uncertainty; v, t: 1) To vibrate or move quickly; 2) To drive in disorder; to throw into confusion (MW)		
Wind	"Love Songs"	verb; noun	v. 1) to turn completely, or with repeated turns; especially, to turn about something fixed; to cause to form convolutions about anything; to coil; to twine; to twist; to wreathe; as, to wind thread on a spool or into a ball; 2) To entwist; to infold; to encircle; 3) To have complete control over; to turn; and bend at one's pleasure; to vary or alter at will; to regulate; to govern. (ect.); n. 1) Air naturally in motion with any degree of velocity; a current of air; 2) Air artificially put in motion by any force or action; as the wind of a cannon ball; the wind of a bellows 3) Breath modulated by the respiratory and vocal organs, or by an instrument; 4) Power of respiration breath; 5) Air or gas generated in the stomach or bowels; 6) Air impregnated with an odor or scent (etc.) (MW)		astronomy
Kriegsopfer	"Der Blinde Junge"	noun (plural)	War victims (Google Translate)		German; death
Rain	"Ignoramus"; "Italian Pictures: Costa Magic"	noun	Water falling in drops from the clouds; the descent of water from the clouds in drops (MW)		astronomy
Adamsite	"English Rose"	noun			
Bolshevik	"English Rose"	noun			historical
Café du Néant	"Café du Néant"	noun			
Cesira	"Italian Pictures: Costa Magic"	noun			
Chrysanthemum	"Crab-Angel"	noun			botany
Colloquist	"Joyce's Ulysses"	noun			
Cryptonym	"Love Songs"				
Crystallization	"Parturition"				
Cuirass	"Apology of Genius"	noun			
Curls	"Crab-Angel"				circular
Cyclorama	"'The Starry Sky' of Wyndham Lewis"				
Don Juan	"Joyce's Ulysses"				
Dust	"Crab-Angel"; "Ignoramus"				
Ecclesiast	"Joyce's Ulysses"				
Eremite	"Der Blinde Junge"				
Erin	"Joyce's Ulysses"				
Erudite	"Joyce's Ulysses"				
Extinct	"Der Blinde Junge"				biology; death
Eye	"Sketch of a Man on a Platform"				
Eyeless	"Der Blinde Junge"				
Glume	"Ignoramus"				
Gravid	"Joyce's Ulysses"				
Hausfrau	"English Rose"				German
Heathen	"English Rose"				
Horologe	"Der Blinde Junge"				French
Hyperaesthesia	"Brancusi's Golden Bird"				
Island	"English Rose"				
Lipton	"English Rose"				
Loquent	"Joyce's Ulysses"	adjective			
Mademoiselle Genée	"Sketch of a Man on a Platform"				
Maidenhead	"English Rose"				gender
Malefic	"Italian Pictures: Costa Magic"				
Man	"Italian Pictures: The Costa San Giorgio"; "Sketch of a Man on a Platform"				gender
Metaphysical	"English Rose"				
Monster	"Joyce's Ulysses"	noun			mythology; spiritual; death
Mouth	"English Rose"				
Myopic	"English Rose"				
Nature	"English Rose"; "Love Songs"; "Italian Pictures: July in Vallombrosa"				nature
Névrose	"English Rose"				
Nightingale	"Poe"				astronomy; biology
Occident	"Joyce's Ulysses"				
Odalisque	"Lunar Baedeker"	noun			gender
Parvenue	"Lunar Baedeker"	noun			society
Pearl	"English Rose"				round
Pearly	"Crab-Angel"				circular
Pendulence	"Crab-Angel"				
Penetralia	"English Rose"				
Phthisis	"Italian Pictures: Costa Magic"				scientific
Pot-pourri	"English Rose"				
Powder	"Café du Néant"				
Pulverous	"Apology of Genius"	adjective			
Putrefaction	"Café du Néant"				scientific
Retinal	"Der Blinde Junge"				light
Robustly	"English Rose"				
Rosa	"Joyce's Ulysses"				botany; circular
Sacerdotal	"Apology of Genius"	adjective			spiritual
Scioned	"English Rose"				
Scythe	"Apology of Genius"	noun			
Shadow	"'The Starry Sky' of Wyndham Lewis"; "Love Songs"				light
Silence	"Magasins du Louvre"				sound
Somnambulist	"Lunar Baedeker"	noun			sleep
Sparkling	"Der Blinde Junge"				
Spectral	"Der Blinde Junge"				
Sub-umbilical	"English Rose"				
Vallambrosa	"Italian Pictures: July in Vallombrosa"				
Visionless	"Der Blinde Junge"				light
